0.000001,0.000001,0.000001,0.4702,0.6063,0.6226,0.7439,0.7030,0.7104,0.3177,0.4484,0.6972
0.000001,0.000001,0.000001,0.5733,0.6514,0.6063,0.8575,0.8733,0.5756,0.5329,0.6655,0.4546
0.000001,0.000001,0.000001,0.6816,0.5733,0.4702,0.9048,0.8538,0.5566,0.5160,0.6011,0.3381
0.3381,0.4546,0.6972,0.000001,0.000001,0.000001,0.4702,0.6057,0.5376,0.5524,0.8559,0.9048
0.6018,0.6663,0.4546,0.000001,0.000001,0.000001,0.5733,0.6511,0.5731,0.5814,0.8977,0.8575
0.6368,0.6018,0.3381,0.000001,0.000001,0.000001,0.6816,0.5730,0.4639,0.6261,0.8172,0.7479
0.7479,0.8575,0.9048,0.3381,0.4546,0.6972,0.000001,0.000001,0.000001,0.3638,0.5074,0.6181
0.8487,0.9046,0.8575,0.6017,0.6663,0.4545,0.000001,0.000001,0.000001,0.4703,0.4637,0.5396
0.6484,0.7512,0.7173,0.6270,0.5982,0.3368,0.000001,0.000001,0.000001,0.6201,0.4177,0.3196
0.4019,0.4343,0.4178,0.5367,0.7217,0.8573,0.3275,0.4448,0.6921,0.000001,0.000001,0.000001
0.5579,0.6316,0.5798,0.7869,0.7451,0.6067,0.4040,0.4743,0.4116,0.000001,0.000001,0.000001
0.6816,0.5733,0.4702,0.9048,0.8569,0.7386,0.5794,0.4184,0.2906,0.000001,0.000001,0.000001
