0.000001,0.000001,0.000001,0.4688,0.4706,0.4563,0.7297,0.8574,0.9048,0.3381,0.4546,0.6972
0.000001,0.000001,0.000001,0.4291,0.6483,0.6063,0.8575,0.9048,0.8575,0.6018,0.6663,0.4546
0.000001,0.000001,0.000001,0.6816,0.5733,0.4702,0.9048,0.8575,0.7480,0.6368,0.6018,0.3381
0.3380,0.4436,0.6972,0.000001,0.000001,0.000001,0.4702,0.6063,0.6226,0.7480,0.8575,0.9048
0.4310,0.6663,0.4546,0.000001,0.000001,0.000001,0.5733,0.6514,0.6063,0.8575,0.9048,0.8574
0.5917,0.6018,0.3381,0.000001,0.000001,0.000001,0.6816,0.5733,0.4702,0.9048,0.8575,0.7297
0.7477,0.8575,0.9048,0.3381,0.4546,0.6972,0.000001,0.000001,0.000001,0.4702,0.6063,0.4563
0.8575,0.9048,0.8575,0.6018,0.6663,0.4546,0.000001,0.000001,0.000001,0.5733,0.6483,0.4706
0.9048,0.8575,0.7480,0.6368,0.6018,0.3381,0.000001,0.000001,0.000001,0.6816,0.4291,0.4688
0.4702,0.6063,0.6226,0.7480,0.8575,0.9048,0.3381,0.4546,0.6972,0.000001,0.000001,0.000001
0.5733,0.6514,0.6063,0.8575,0.9048,0.8575,0.6018,0.6663,0.4436,0.000001,0.000001,0.000001
0.6816,0.5733,0.4702,0.9048,0.8575,0.7477,0.5917,0.4310,0.3380,0.000001,0.000001,0.000001
